2260 3500 1110 1860 3180
1230 2730 2040 3680 1630
3130 1600 2780 2040 2640
1620 1050 2950 2520 1340
3760 2420 2890 1160 3220
3270 3150 1650 1340 2940
2590 1520 3630 1590 3530
2260 3540 2050 3640 2670
1730 3270 3360 2350 1900
2370 3370 1950 2640 3340
1060 2210 3300 3640 2440
1680 3650 1440 3600 2430
2710 2710 2270 2630 3680
3030 2880 1990 2210 3370
3440 2590 3510 1670 3930
3000 1520 1720 2990 2150
2030 1010 1320 3370 1470
2740 8380 2160 3060 2860
3560 2330 1660 3900 2220
3190 1170 3400 2210 2420
2380 1640 1040 8850 8950
8020 2750 2750 8350 1500
1390 3090 1900 2830 8440
3590 8970 8980 1610 1580
1090 2420 3480 2980 1000
1040 1760 2390 3940 3180
1300 3230 1800 1830 1600
3160 1540 1830 1150 2240
2440 8540 2050 1250 8760
1090 2760 2950 3140 2210
3860 3930 8090 1290 1650
1980 3600 2370 8780 1160
3890 2210 1040 1720 1440
8870 3060 2600 2060 1180
1020 3280 1640 3440 8830
3580 2380 1900 8710 1920
3710 1390 2690 1130 1920
8890 3870 2270 1430 3120
1850 3870 8960 2950 2470
1570 3050 2440 2670 2720
1980 2870 1400 1190 3550
2300 1300 1990 2250 3310
3270 1160 2160 2680 8150
3030 2050 2240 1080 2940
3710 2330 3910 3200 3060
1090 2100 1470 1750 3190
2510 2960 1000 3650 20000
20000 20000 20000 20000 8940
1810 3260 3020 3700 3310
2560 3980 3650 8470 8360
3770 1710 8440 3390 8460
3100 2150 1940 2390 20000
20000 20000 20000 20000 2250
2440 2690 3000 2970 2560
1520 8180 1300 2260 3820
3280 3700 1300 1610 1320
2690 2030 8690 2060 20000
20000 20000 20000 20000 8930
3180 2720 3380 3520 3250
1090 2760 2210 3620 2820
2340 3380 1380 3620 2240
3300 1680 3430 1300 20000
20000 20000 20000 20000 2200
3810 1790 3060 1040 1390
3790 2370 1550 2920 3260
1110 3160 3180 1470 3180
1360 8340 3120 2600 20000
20000 20000 20000 20000 2510
3780 3760 2610 8620 2020
8320 3430 3370 2310 3120
2690 3070 2090 3420 1320
3440 3270 3060 2090 2010
2700 3030 2780 3090 1650
1510 1720 2740 1600 2480
2030 1120 1520 3550 3770
3820 1360 3730 1420 1770
1070 2140 3750 2560 1330
2390 1980 3470 2870 3110
1910 1010 3360 2050 1540
2000 8870 1500 2520 3590
3810 1430 2510 1020 1040
1430 1280 3720 1970 1550
2690 3270 1450 3720 8620
3960 3100 1690 1760 2590
1410 3420 3340 3160 1720
1120 2560 3220 2820 2690
3200 1130 1030 1990 1060
2160 3550 2100 3770 3910
2790 3020 8020 2200 1340
2240 1790 3020 2200 1230
8070 2680 1010 1210 8420
2970 3110 2670 3190 3030
2440 8660 3980 1390 1240
3960 3300 2620 2650 3330
2980 3000 8750 1970 3400
1680 1320 3310 3320 2340
1530 3360 1530 1160 2850
3080 1820 3410 3980 1100
2870 1080 1710 1920 2940
3330 8410 1410 3170 2940
2050 3440 1370 1960 2280
1250 8110 3620 1530 1960
1060 1920 1460 1500 1110
1210 2520 2140 3320 1590
2980 2570 2400 1380 3100
3010 2200 1320 2350 8350
1650 2700 2010 1990 2450
8240 2300 3650 8900 2750
1220 2200 2700 2410 3450
8070 1390 3040 3490 1830
1290 1850 1830 1180 2900
1170 2520 2030 8920 2030
2260 8770 1240 1320 3220
1390 1740 2210 2220 2390
2700 3000 2460 1400 3880
2500 1530 2460 2340 1480
1810 1740 2890 8660 2180
8530 3840 3510 3180 2560
3490 3660 1280 1630 1370
1180 1430 2760 3130 2840
2610 2950 2460 1970 2170
2000 2830 2160 3780 3730
3830 2840 2790 3510 3650
3960 2350 3000 3750 1540
1450 1000 2880 1400 3610
